City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
123,Barranca,PE,73.38,scattered clouds,-10.75,-77.7667,El Olivar Hospedaje
124,Meulaboh,ID,74.34,overcast clouds,4.1363,96.1285,Kost Pria
128,Sao Filipe,CV,75.45,broken clouds,14.8961,-24.4956,Tortuga B&B
129,Faanui,PF,80.69,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
130,Cascais,PT,59.0,overcast clouds,38.6979,-9.4215,Hotel Vila Galé Cascais
131,Cockburn Town,TC,71.6,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
132,Kaeo,NZ,63.0,scattered clouds,-35.1,173.7833,Bushido Lodge
133,Diego De Almagro,CL,78.57,clear sky,-26.3667,-70.05,hotel luna del desierto
134,Rafai,CF,79.32,overcast clouds,4.95,23.9167,
140,Alofi,NU,78.8,moderate rain,-19.0595,-169.9187,Taloa Heights
141,Faya,SA,59.0,clear sky,18.3851,42.4509,مقبرة ال مجمل
142,Ambilobe,MG,73.81,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
147,Maria Chiquita,PA,82.0,overcast clouds,9.4431,-79.7558,La Casa del Rio
148,Gizo,SB,83.68,moderate rain,-8.103,156.8419,Imagination Island
153,Codrington,AU,60.76,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
157,Atuona,PF,78.69,clear sky,-9.8,-139.0333,Villa Enata
162,Quatre Cocos,MU,80.6,light rain,-20.2078,57.7625,Emeraude Beach Attitude Hotel
164,Russell,US,59.0,clear sky,32.3502,-85.1999,Macs
166,Ouango,CF,70.41,overcast clouds,4.3133,22.5552,
167,Port-Gentil,GA,80.6,few clouds,-0.7193,8.7815,Fengshui Residence
170,Emerald,AU,80.6,clear sky,-23.5333,148.1667,The Irish Village
174,Touros,BR,80.6,few clouds,-5.1989,-35.4608,INN NEW HORIZON
177,Talara,PE,76.77,clear sky,-4.5772,-81.2719,Hostal Oro Negro
178,Keti Bandar,PK,62.06,clear sky,24.1447,67.4497,Haji laloo memon house
180,Metro,ID,73.22,light rain,-5.1131,105.3067,OYO 3177 Wisma Lintang
183,Sinjai,ID,77.88,overcast clouds,-5.1241,120.25299999999999,Wisma Sandika
184,Airai,TL,61.68,overcast clouds,-8.9266,125.4092,Juvinal Martin
185,Lorengau,PG,83.71,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
186,Coro,VE,79.07,broken clouds,11.4045,-69.6734,Federal
187,Goundam,ML,72.43,clear sky,16.4145,-3.6708,
188,Boyolangu,ID,74.39,moderate rain,-8.1181,111.8935,Yos ega cv
189,Ahipara,NZ,68.99,clear sky,-35.1667,173.1667,Ahipara Holiday Park
191,Road Town,VG,78.01,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
192,Fortuna,US,55.99,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
197,Kapit,MY,71.87,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
198,Iglesias,IT,60.8,few clouds,39.3114,8.535,Hotel Sport Village
202,Batangafo,CF,77.49,overcast clouds,7.3008,18.2833,OCHA Office
203,Magway,MM,63.81,clear sky,20.15,94.9167,Htein Htein Thar 2
206,Gat,IL,55.99,few clouds,31.61,34.7642,OlusHome
210,Saint-Pierre,RE,78.8,clear sky,-21.3393,55.4781,Lindsey Hôtel
211,Sur,OM,64.17,clear sky,22.5667,59.5289,Sur Plaza Hotel
212,Hokitika,NZ,61.52,clear sky,-42.7167,170.9667,Beachfront Hotel Hokitika
213,Point Fortin,TT,81.0,broken clouds,10.1833,-61.6833,Jus Les' Suites
215,Guerrero Negro,MX,66.67,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
218,Beloha,MG,76.77,scattered clouds,-25.1667,45.05,
219,Makakilo City,US,80.6,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
220,Terra Santa,BR,79.39,light rain,-2.1042,-56.4869,Hotel Sarah
223,Praia Da Vitoria,PT,57.2,few clouds,38.7333,-27.0667,Hotel Branco I
224,Farrukhnagar,IN,70.0,mist,17.0778,78.2011,Musthafa Five Star Kiranam
228,Mackay,AU,78.8,overcast clouds,-21.15,149.2,International Lodge Motel
229,Santa Rosa,PH,75.99,few clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
230,Boende,CD,73.02,overcast clouds,-0.2167,20.8667,
231,Coquimbo,CL,66.2,few clouds,-29.9533,-71.3436,Hotel San Juan
232,Catumbela,AO,75.43,broken clouds,-12.4314,13.5472,Hotel Do Kamgamba
234,Tefe,BR,82.4,few clouds,-3.3542,-64.7114,Aracati Hotel
236,Jalu,LY,55.49,clear sky,29.0331,21.5482,صاحبة الفخامة
237,El Alto,PE,75.4,few clouds,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
239,Mareeba,AU,81.0,scattered clouds,-17.0,145.4333,Trinity Plains Tourist Park
240,Ancud,CL,60.8,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
243,Harrison,US,55.99,clear sky,30.4091,-89.0436,Residence Inn by Marriott Gulfport-Biloxi Airport
245,Kokopo,PG,82.67,overcast clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
246,Siavonga,ZM,72.99,overcast clouds,-16.5382,28.7088,Lavongora Waterfront Lodge
247,Victoria,HK,59.0,clear sky,22.2855,114.1577,Mini Hotel Central
249,Pacific Grove,US,55.99,scattered clouds,36.6177,-121.9166,Lovers Point Inn
250,Sao Gabriel Da Cachoeira,BR,86.04,broken clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
251,Bonfim,BR,86.49,overcast clouds,3.0833,-59.95,
252,Calamar,CO,80.6,clear sky,10.2511,-74.9146,Hostal Katyalex
253,Techiman,GH,78.85,overcast clouds,7.5862,-1.9414,KONTINENTAL LODGE
257,Madras,IN,75.2,mist,13.0878,80.2785,"Taj Connemara, Chennai"
260,Kotaparh,IN,62.06,broken clouds,19.15,82.35,Bablu Bikash Marg
261,Waingapu,ID,78.49,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
262,Christchurch,NZ,63.0,overcast clouds,-43.5333,172.6333,"Chateau on the Park - Christchurch, a DoubleTree by Hilton"
265,Contamana,PE,89.51,broken clouds,-7.3333,-75.0167,Shiringal Touristic Park
267,Marigot,MF,78.8,few clouds,18.0667,-63.0833,"Sonesta Maho Beach Resort, Casino & Spa"
268,Mabaruma,GY,75.81,overcast clouds,8.2,-59.7833,
269,Sesheke,ZM,69.33,light rain,-17.4759,24.2968,Protea Hotel by Marriott Zambezi River Lodge
270,Ibotirama,BR,83.03,broken clouds,-12.1853,-43.2206,Serra do Rio Hotel
272,Burnie,AU,62.01,overcast clouds,-41.0667,145.9167,Beachfront Voyager Motor Inn
273,Coihaique,CL,60.8,few clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
279,Pemba,MZ,80.6,broken clouds,-12.974,40.5178,Guesthouse Samotina
280,Bathsheba,BB,77.0,scattered clouds,13.2167,-59.5167,Atlantis Hotel
281,Bintulu,MY,77.0,scattered clouds,3.1667,113.0333,900 Boutique INN
285,Karratha,AU,81.0,scattered clouds,-20.7377,116.8463,ibis Styles Karratha
286,Guanica,PR,79.0,scattered clouds,17.9716,-66.908,Copamarina Beach Resort & Spa
288,Mango,US,68.0,clear sky,27.9797,-82.3065,Hilton Garden Inn Tampa East/Brandon
289,Souillac,MU,80.6,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
294,Tual,ID,83.46,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
302,Mar Del Plata,AR,75.2,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
303,Dennery,LC,80.6,few clouds,13.8996,-60.8879,The Fox Grove Inn
305,Taoudenni,ML,72.16,clear sky,22.6783,-3.9836,
307,Lagoa,PT,59.16,clear sky,39.05,-27.9833,Casa Das Faias
308,Kaitangata,NZ,59.0,broken clouds,-46.2817,169.8464,Kaitangata Motor Camp
310,Inhambane,MZ,78.84,few clouds,-23.865,35.3833,Oceano
311,Port Augusta,AU,68.0,overcast clouds,-32.5,137.7667,Majestic Oasis Apartments
312,Yaan,NG,79.93,clear sky,7.3833,8.5667,
313,Yanam,IN,67.93,broken clouds,16.7333,82.2167,The Regency Hotel
315,Teknaf,BD,61.43,clear sky,20.8624,92.3058,Forestry Guesthouse
316,Gewane,ET,67.46,clear sky,10.1664,40.6453,
318,Kalmunai,LK,75.33,broken clouds,7.4167,81.8167,VS Villa
324,Comendador,DO,74.71,clear sky,18.8775,-71.7028,Babina De Los Santos
326,Fenoarivo Atsinanana,MG,76.64,broken clouds,-17.3667,49.4167,L'Oasis Lodge
328,Kutum,SD,56.05,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
335,Bambous Virieux,MU,80.6,light rain,-20.3428,57.7575,Casa Tia Villa
337,Denpasar,ID,78.8,light rain,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
338,Lumeje,AO,67.33,overcast clouds,-11.55,20.7833,
341,Yulara,AU,80.6,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
342,Hobyo,SO,75.58,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
343,Ormara,PK,66.06,clear sky,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
344,Miri,MY,77.0,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
345,Kruisfontein,ZA,61.0,clear sky,-34.0033,24.7314,Oyster Bay House Rental
347,Saint-Louis,SN,82.4,clear sky,16.3333,-15.0,
348,Araouane,ML,70.03,clear sky,18.9048,-3.5265,
349,Tabou,CI,77.81,overcast clouds,4.423,-7.3528,hotêl doufoulougou
350,Yacuiba,BO,89.55,light rain,-22.038,-63.6797,Hotel Monumental
351,Bilma,NE,62.49,few clouds,18.6853,12.9164,Expeditions Ténére voyages
356,Ribeira Grande,PT,60.8,few clouds,38.5167,-28.7,Quinta da Meia Eira
357,Edeia,BR,77.72,overcast clouds,-17.3383,-49.9314,Hotel Imperial Edeia
360,Madang,PG,78.24,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
364,Saldanha,ZA,64.74,clear sky,-33.0117,17.9442,Blue Bay Lodge
369,Nouakchott,MR,68.0,scattered clouds,18.0858,-15.9785,HOTEL IMAN فندق إيمان
371,Caravelas,BR,77.45,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
372,Namatanai,PG,83.26,overcast clouds,-3.6667,152.4333,Namatanai Hotel
373,Saint Pete Beach,US,64.0,clear sky,27.7253,-82.7412,Grand Plaza Hotel - St. Pete Beach
374,Ambovombe,MG,77.04,clear sky,-25.1667,46.0833,RELAHARA
376,Fenoarivo,MG,62.6,scattered clouds,-18.933,47.4354,Skyfol Ambodiafontsy
378,Eucaliptus,BO,62.6,broken clouds,-17.5833,-67.5167,Hotel Serrano
379,West Odessa,US,69.8,clear sky,31.8424,-102.4988,Corporate Mobile Housing
380,Dunedin,NZ,59.0,broken clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
381,Hirara,JP,57.2,scattered clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
382,Hirna,ET,59.0,clear sky,9.2167,41.1,Seid Ali
387,Sinnamary,GF,77.22,moderate rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
388,Kilindoni,TZ,82.69,broken clouds,-7.9139,39.6668,Bustani B&B
389,Muros,ES,57.0,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
390,Manuk Mangkaw,PH,80.94,overcast clouds,4.8,119.85,
391,Mount Gambier,AU,59.0,overcast clouds,-37.8333,140.7667,Commodore on the Park
392,Karaikkudi,IN,72.54,broken clouds,10.0667,78.7833,Hotel Meyyappaa
393,Sampang,ID,75.2,haze,-7.1872,113.2394,sekretariat IKA STAIN
394,Garzon,CO,80.19,overcast clouds,2.1959,-75.6278,Hotel Kahvé
397,Klaeng,TH,75.0,broken clouds,12.7797,101.6483,Damrongcheep in Resort
403,Mweka,CD,73.26,overcast clouds,-4.85,21.5667,
407,Dickinson,US,62.6,clear sky,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
408,Nicoya,CR,86.0,clear sky,10.1483,-85.45200000000001,Guayacan Real
409,Salalah,OM,73.4,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
414,Bairiki,KI,84.2,scattered clouds,1.3292,172.9752,Tarawa Boutique Hotel
416,Comodoro Rivadavia,AR,62.6,clear sky,-45.8667,-67.5,Austral Hotel
418,Gamba,GA,78.12,moderate rain,-2.65,10.0,
419,The Valley,AI,78.8,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
420,Mapiri,BO,78.73,overcast clouds,-15.25,-68.1667,
421,Mizan Teferi,ET,67.77,overcast clouds,6.9833,35.5833,Hotel Salayish | ሆቴል ሳላይሽ
426,Honiara,SB,82.89,heavy intensity rain,-9.4333,159.95,Heritage Park Hotel
427,Port Blair,IN,78.75,broken clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
429,Pemangkat,ID,75.51,light rain,1.1667,108.9667,Kost H.Syamsuddin
430,Praxedis Guerrero,MX,57.2,overcast clouds,31.3667,-106.0167,Iglesia Bautista Dios con Nosotros
433,Binika,IN,65.73,few clouds,21.0333,83.8,DISASTER ACCOMMODATION
434,Fomboni,KM,83.77,scattered clouds,-12.28,43.7425,Auberge les abou
435,Langsa,ID,72.55,overcast clouds,4.4683,97.9683,OYO 2964 Hotel Ridho
436,Xico,MX,73.4,scattered clouds,19.2667,-98.9333,Posada Familiar
437,Iracoubo,GF,77.05,overcast clouds,5.4802,-53.2011,Le Gite D Iracoubo
438,Pedernales,DO,78.35,clear sky,18.0384,-71.744,Hotel Costa Marina
439,Mount Isa,AU,87.8,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
