City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Wind Speed,Current Description
83,Baie-Comeau,CA,49.2168,-68.1489,10.4,52,8.05,clear sky
84,Esna,EG,25.2934,32.554,53.6,58,3.44,clear sky
85,Kendari,ID,-3.945,122.4989,73.72,94,1.41,overcast clouds
86,Cape Town,ZA,-33.9258,18.4232,70.0,82,8.05,few clouds
87,Byron Bay,AU,-28.65,153.6167,73.4,88,5.75,broken clouds
88,Staryy Nadym,RU,65.6118,72.6842,-42.83,79,5.12,clear sky
89,Sao Joao Da Barra,BR,-21.6403,-41.0511,80.6,69,20.71,clear sky
90,Bengkulu,ID,-3.8004,102.2655,75.06,88,5.61,overcast clouds
91,Kavieng,PG,-2.5744,150.7967,82.67,82,15.01,light rain
92,Mazatlan,MX,23.2167,-106.4167,78.8,50,9.22,scattered clouds
93,Bethel,US,41.3712,-73.414,19.4,45,11.5,clear sky
94,Marawi,PH,7.9986,124.2928,71.01,90,5.99,broken clouds
95,Kiunga,PG,-6.1219,141.2906,74.71,96,2.19,overcast clouds
96,Shimoda,JP,34.6667,138.95,30.0,63,13.65,clear sky
97,Ixtapa,MX,20.7,-105.2,77.0,78,13.8,scattered clouds
98,Ilulissat,GL,69.2167,-51.1,-0.4,55,8.05,clear sky
99,Titusville,US,28.6122,-80.8075,60.8,51,8.05,clear sky
100,Torbay,CA,47.6666,-52.7314,28.0,93,17.27,light snow
101,Melilla,ES,35.2937,-2.9383,57.2,94,4.61,few clouds
102,Thompson,CA,55.7435,-97.8558,8.6,78,4.61,overcast clouds
103,Harper,LR,4.375,-7.7169,78.13,85,5.06,overcast clouds
104,Arraial Do Cabo,BR,-22.9661,-42.0278,82.4,73,17.27,clear sky
105,Ngorongoro,TZ,-3.2397,35.4875,53.4,89,3.44,overcast clouds
106,Astana,KZ,51.1801,71.446,-2.2,84,6.71,clear sky
107,Akdagmadeni,TR,39.6603,35.8836,20.53,86,6.44,few clouds
108,Tasiilaq,GL,65.6145,-37.6368,15.8,79,26.46,overcast clouds
109,Milici,BA,44.1711,19.0903,41.0,100,2.3,mist
110,Am Timan,TD,11.0297,20.2827,74.82,20,7.74,clear sky
111,Bluff,NZ,-46.6,168.3333,52.9,67,1.83,broken clouds
112,Tombouctou,ML,20.0,-3.0,70.68,20,11.95,clear sky
113,Wanaka,NZ,-44.7,169.15,55.22,57,3.18,clear sky
114,Port Lincoln,AU,-34.7333,135.8667,62.92,67,11.18,broken clouds
115,Matara,LK,5.9485,80.5353,75.16,87,1.88,overcast clouds
116,Savonlinna,FI,61.8699,28.88,26.6,86,10.36,light snow
117,Kapaa,US,22.0752,-159.319,77.0,69,18.41,scattered clouds
118,Houma,US,29.5958,-90.7195,63.0,55,5.75,clear sky
119,Mildura,AU,-34.2,142.15,64.0,77,10.36,clear sky
120,Zhigansk,RU,66.7697,123.3711,-45.35,77,9.37,broken clouds
121,Ambon,ID,-3.6954,128.1814,78.8,73,4.61,scattered clouds
122,Glenwood Springs,US,39.5505,-107.3248,50.0,63,9.22,overcast clouds
123,Barranca,PE,-10.75,-77.7667,73.38,71,10.29,scattered clouds
124,Meulaboh,ID,4.1363,96.1285,74.34,88,6.8,overcast clouds
125,Yar-Sale,RU,66.8333,70.8333,-41.69,81,3.4,few clouds
126,Veyrier,CH,46.167,6.1844,46.4,81,10.36,broken clouds
127,Altay,CN,47.8667,88.1167,3.42,78,1.83,scattered clouds
128,Sao Filipe,CV,14.8961,-24.4956,75.45,55,9.28,broken clouds
129,Faanui,PF,-16.4833,-151.75,80.69,69,5.79,light rain
130,Cascais,PT,38.6979,-9.4215,59.0,100,14.07,overcast clouds
131,Cockburn Town,TC,21.4612,-71.1419,71.6,56,17.27,broken clouds
132,Kaeo,NZ,-35.1,173.7833,63.0,92,4.0,scattered clouds
133,Diego De Almagro,CL,-26.3667,-70.05,78.57,21,10.71,clear sky
134,Rafai,CF,4.95,23.9167,79.32,48,1.07,overcast clouds
135,Normandin,CA,48.8333,-72.5321,6.8,72,11.5,overcast clouds
136,Villa Maria,AR,-32.4075,-63.2402,90.73,33,2.64,few clouds
137,Aberdeen,GB,57.1437,-2.0981,32.0,93,6.91,overcast clouds
138,Beringovskiy,RU,63.05,179.3167,-16.19,85,10.0,few clouds
139,Aksarka,RU,66.5606,67.7975,-43.02,80,2.75,few clouds
140,Alofi,NU,-19.0595,-169.9187,78.8,89,11.5,moderate rain
141,Faya,SA,18.3851,42.4509,59.0,38,11.5,clear sky
142,Ambilobe,MG,-13.2,49.05,73.81,93,1.74,light rain
143,Komsomolskiy,UZ,40.4272,71.7189,30.2,55,6.91,broken clouds
144,Hasaki,JP,35.7333,140.8333,33.8,40,14.97,few clouds
145,Twentynine Palms,US,34.1356,-116.0542,53.6,47,14.97,broken clouds
146,Solnechnyy,RU,50.7214,136.6319,-7.11,88,5.39,overcast clouds
147,Maria Chiquita,PA,9.4431,-79.7558,82.0,66,11.99,overcast clouds
148,Gizo,SB,-8.103,156.8419,83.68,77,14.45,moderate rain
149,Kodiak,US,57.79,-152.4072,35.6,64,10.36,broken clouds
150,Clyde River,CA,70.4692,-68.5914,-13.0,77,16.11,few clouds
151,Lukovetskiy,RU,64.2956,41.9211,17.6,86,13.42,light snow
152,Provideniya,RU,64.3833,-173.3,-7.28,82,7.67,overcast clouds
153,Codrington,AU,-38.2667,141.9667,60.76,80,11.27,overcast clouds
154,Dikson,RU,73.5069,80.5464,-31.92,85,6.42,overcast clouds
155,Chokurdakh,RU,70.6333,147.9167,-24.74,86,7.65,overcast clouds
156,Shaunavon,CA,49.6501,-108.4181,17.6,79,3.44,overcast clouds
157,Atuona,PF,-9.8,-139.0333,78.69,76,19.37,clear sky
158,Mednogorsk,RU,51.4128,57.595,20.37,97,7.49,snow
159,Haines Junction,CA,60.7522,-137.5108,-2.2,71,2.01,overcast clouds
160,Saint George,US,37.1041,-113.5841,46.4,71,4.61,broken clouds
161,Nuuk,GL,64.1835,-51.7216,24.8,86,10.36,clear sky
162,Quatre Cocos,MU,-20.2078,57.7625,80.6,83,8.05,light rain
163,Tiksi,RU,71.6872,128.8694,-31.49,84,4.23,overcast clouds
164,Russell,US,32.3502,-85.1999,59.0,23,1.21,clear sky
165,Cherskiy,RU,68.75,161.3,-32.93,83,4.52,scattered clouds
166,Ouango,CF,4.3133,22.5552,70.41,89,1.07,overcast clouds
167,Port-Gentil,GA,-0.7193,8.7815,80.6,83,3.44,few clouds
168,Noyabrsk,RU,63.1994,75.4507,-41.64,80,7.54,few clouds
169,Nikolskoye,RU,59.7035,30.7861,33.01,93,8.95,snow
170,Emerald,AU,-23.5333,148.1667,80.6,57,10.36,clear sky
171,Stornoway,GB,58.2093,-6.3865,37.4,75,9.22,clear sky
172,Jesi,IT,43.5288,13.2402,42.01,100,4.61,mist
173,Evensk,RU,61.95,159.2333,-4.97,83,13.38,overcast clouds
174,Touros,BR,-5.1989,-35.4608,80.6,74,12.66,few clouds
175,Skoutari,GR,41.0167,23.5167,45.0,62,1.99,overcast clouds
176,Alta,NO,69.9689,23.2717,12.2,67,6.91,overcast clouds
177,Talara,PE,-4.5772,-81.2719,76.77,76,12.68,clear sky
178,Keti Bandar,PK,24.1447,67.4497,62.06,66,9.01,clear sky
179,Timra,SE,62.487,17.3257,8.01,92,4.61,light snow
180,Metro,ID,-5.1131,105.3067,73.22,95,6.04,light rain
181,Sistranda,NO,63.7256,8.834,35.6,93,21.85,broken clouds
182,Katsuura,JP,35.1333,140.3,36.0,48,17.27,few clouds
183,Sinjai,ID,-5.1241,120.253,77.88,74,4.25,overcast clouds
184,Airai,TL,-8.9266,125.4092,61.68,100,4.12,overcast clouds
185,Lorengau,PG,-2.0226,147.2712,83.71,75,10.22,overcast clouds
186,Coro,VE,11.4045,-69.6734,79.07,71,16.6,broken clouds
187,Goundam,ML,16.4145,-3.6708,72.43,19,11.25,clear sky
